artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig51,kmeans||,17,17,1,1,64,exact,0,42,1,7440456.62911722,5428438.165490343,15,5.697436571121216,6.270707845687866,False
fig51,kmeans||,17,17,1,1,64,exact,1,43,1,7734904.854894091,5598936.414252854,17,2.5887818336486816,8.085936069488525,False
fig51,kmeans||,17,17,1,1,64,exact,2,44,1,7983329.780989627,6375348.256748372,17,2.490440607070923,7.847548961639404,False
fig51,kmeans||,17,17,1,1,64,exact,3,45,1,6246085.351494165,5605883.065345031,17,2.41635799407959,9.381194829940796,False
fig51,kmeans||,17,17,1,1,64,exact,4,46,1,8202319.543137788,5823844.122624068,15,2.9600841999053955,8.358079433441162,False
fig51,kmeans||,17,17,1,1,64,exact,5,47,1,7880896.968534622,7326821.070965581,20,2.4482431411743164,10.471187114715576,False
fig51,kmeans||,17,17,1,1,64,exact,6,48,1,10343166.98167436,6758531.696323673,33,2.2646853923797607,29.418048620224,False
fig51,kmeans||,17,17,1,1,64,exact,7,49,1,6603181.849208165,5181882.956332665,12,2.965970993041992,4.405658483505249,False
fig51,kmeans||,17,17,1,1,64,exact,8,50,1,6884188.321197427,5676685.999037551,14,2.247668504714966,5.725677490234375,False
fig51,kmeans||,17,17,1,1,64,exact,9,51,1,8136942.304325939,5105167.3314736085,22,2.775738477706909,14.681304931640625,False
fig51,kmeans||,17,17,1,1,64,exact,10,52,1,6282325.202059031,4344268.0845323,19,2.322425365447998,9.929639339447021,False
fig51,kmeans||,17,17,2,1,64,exact,0,42,2,4324923.574862939,3731975.5110948253,23,3.1494951248168945,13.915935039520264,False
fig51,kmeans||,17,17,2,1,64,exact,1,43,2,4606135.808019971,3935844.0803980133,30,2.717373847961426,26.413840293884277,False
fig51,kmeans||,17,17,2,1,64,exact,2,44,2,4329230.675322081,4048221.506826674,8,3.0548040866851807,4.063682317733765,False
fig51,kmeans||,17,17,2,1,64,exact,3,45,2,4488138.585996068,4094975.1978656747,10,2.8284690380096436,5.404238939285278,False
