artifact,method,R,n,d,k,l,r,l_over_k,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed
fig52,k-means++,1,10000,15,50,,,,bernoulli,0,42,,,143752.16637519826,38.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,1,43,,,144359.6291284606,31.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,2,44,,,143660.73301815975,38.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,3,45,,,144250.91865650803,46.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,4,46,,,144601.67355001095,30.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,5,47,,,143754.69415319487,50.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,6,48,,,143805.70268454013,42.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,7,49,,,143780.0785411463,29.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,8,50,,,144185.18333973378,39.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,9,51,,,143824.071724758,70.0,,,False
fig52,k-means++,1,10000,15,50,,,,bernoulli,10,52,,,143728.3718186547,46.0,,,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,0,42,0.0,233607.185143099,143869.55467704526,37.0,0.030552148818969727,1.560269832611084,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,1,43,0.0,229041.86799252656,144819.57738847376,51.0,0.021078824996948242,1.1159720420837402,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,2,44,0.0,232125.56681468364,142947.23405671126,37.0,0.022482633590698242,1.9845383167266846,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,3,45,0.0,241133.97974930896,144245.97833695874,70.0,0.02102065086364746,3.181713819503784,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,4,46,0.0,235899.24953818426,144368.12163175447,40.0,0.01953864097595215,1.321791648864746,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,5,47,0.0,231816.57786928586,144244.81332554016,40.0,0.01978158950805664,1.7800979614257812,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,6,48,0.0,235063.60500962805,145058.11721723544,61.0,0.01999688148498535,1.889604091644287,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,7,49,0.0,232622.0944739139,144998.87056759582,33.0,0.02073955535888672,1.3145372867584229,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,8,50,0.0,226772.57671175437,145342.87180807575,28.0,0.022647380828857422,1.4165103435516357,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,9,51,0.0,237214.44208288338,143317.62734468546,51.0,0.023766756057739258,2.3151755332946777,False
fig52,kmeans||,1,10000,15,50,5.0,0.0,0.1,bernoulli,10,52,0.0,227018.4730972204,143622.45684095527,34.0,0.02392292022705078,1.288787603378296,False
