k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,n_centroids_history,workers,l_over_k
500,50,15,15,64,801851.563849764,587169.166664028,44.81922674179077,25.02638268470764,10,42,"[801851.563849764, 630413.5636826291, 606670.061656422, 599311.389334025, 595356.2286128721, 593132.4070929168, 590974.5516719813, 589252.2550814151, 588409.4197442405, 587733.471020845]","[13.371479034423828, 1.187455177307129, 1.2038650512695312, 1.1901178359985352, 1.2817113399505615, 1.3098323345184326, 1.5402920246124268, 1.2312538623809814, 1.199476957321167, 1.2020668983459473]","[45, 95, 142, 192, 234, 283, 334, 394, 446, 497, 554, 618, 663, 715, 759]",8,0.1
500,50,15,15,64,776904.3153509249,588707.5539731222,47.10255813598633,28.2269127368927,12,43,"[776904.3153509249, 625193.2083038789, 610144.9765236272, 602883.0946817405, 598796.4951637856, 596055.2991388801, 594242.4476342732, 592905.6950280285, 591388.2331169324, 590330.7867340237, 589489.0044344143, 589077.4972732291]","[13.347210168838501, 1.33186936378479, 1.2891039848327637, 1.3412437438964844, 1.3399600982666016, 1.3233604431152344, 1.3479454517364502, 1.3604586124420166, 1.3661384582519531, 1.344944715499878, 1.374664306640625, 1.3534629344940186]","[44, 95, 137, 191, 232, 279, 331, 387, 435, 485, 546, 588, 644, 697, 751]",8,0.1
500,50,15,15,64,788332.9346092716,580004.6252064133,579.8430953025818,342.79792737960815,15,44,"[788332.9346092716, 625086.7608285873, 604984.7177513354, 598147.4438115808, 593858.9375096861, 590059.6957265788, 586724.5930423752, 585253.9224969511, 584076.0457064654, 583119.6873382962, 582295.8911512365, 581534.4648394688, 581075.9037807214, 580672.2446462294, 580317.3663255571]","[28.242265939712524, 3.469391107559204, 19.556997537612915, 20.75305962562561, 25.25776243209839, 34.47732090950012, 26.008619785308838, 31.154282569885254, 33.135247230529785, 32.81247329711914, 1.8748283386230469, 38.82202458381653, 14.173868179321289, 19.638555765151978, 11.047879219055176]","[44, 96, 139, 176, 217, 269, 311, 358, 409, 460, 515, 578, 620, 665, 723]",8,0.1
500,50,15,15,64,802301.9835182138,585842.6779085447,388.3958399295807,32.12604379653931,16,45,"[802301.9835182138, 633931.1750114596, 613274.0923992492, 604785.8750605269, 599807.8783819586, 596336.3840884002, 593781.7653564583, 591645.6823460894, 590068.8338498538, 589209.4846827455, 588414.7395851508, 587477.0406523834, 586910.674123253, 586336.8530283603, 586079.8304463732, 585950.6801790426]","[13.542136430740356, 1.184351921081543, 1.1931164264678955, 1.2105565071105957, 1.1941471099853516, 1.185067892074585, 1.1737887859344482, 1.1708481311798096, 1.4792580604553223, 1.180842399597168, 1.2056806087493896, 1.3589472770690918, 1.1665997505187988, 1.2362451553344727, 1.219264030456543, 1.2045695781707764]","[54, 104, 141, 182, 236, 282, 330, 374, 425, 475, 536, 570, 622, 664, 712]",8,0.1
500,50,15,15,64,786480.0926130832,591087.4429088208,47.576887369155884,28.870951652526855,12,46,"[786480.0926130832, 627425.4941194388, 609158.2062053306, 602813.6722179885, 599462.6283820865, 597468.7518594242, 595904.9558604141, 594646.8273755013, 593440.8900458453, 592436.403974273, 591921.6016197063, 591461.2928931408]","[13.786457538604736, 1.1675829887390137, 1.1612350940704346, 1.2058935165405273, 1.516533613204956, 1.3660321235656738, 1.3810698986053467, 1.3870458602905273, 1.6553254127502441, 1.3906018733978271, 1.3822846412658691, 1.3812999725341797]","[45, 109, 154, 214, 262, 321, 361, 409, 465, 521, 566, 613, 670, 711, 783]",8,0.1
500,50,15,15,64,761130.7725524388,576463.8107772176,44.890454053878784,25.78972554206848,11,47,"[761130.7725524388, 614465.3674692672, 597948.0599959865, 591561.8479856593, 587579.5163920007, 584448.1676345558, 582066.9647714304, 580364.3021629084, 578869.9180041663, 577854.6674421548, 577059.3706556632]","[13.549883842468262, 1.404484510421753, 1.2271020412445068, 1.2015564441680908, 1.1964657306671143, 1.2066526412963867, 1.173776388168335, 1.1779534816741943, 1.1622331142425537, 1.1676971912384033, 1.2043969631195068]","[50, 106, 161, 218, 279, 323, 375, 431, 480, 529, 577, 642, 708, 759, 810]",8,0.1
500,50,15,15,64,787048.5686006114,581290.6759531976,51.909844160079956,32.76751780509949,16,48,"[787048.5686006114, 628616.9057428247, 609898.7422074816, 601799.5930181344, 596229.1301611183, 591236.0804104324, 589089.2753831516, 587928.1200854492, 587009.4704017414, 586120.1632711506, 585199.2083795151, 584276.4355277562, 583413.4107861167, 582597.9691031204, 582006.7017769733, 581562.3073287683]","[13.546760320663452, 1.1526455879211426, 1.2457382678985596, 1.2774810791015625, 1.3112092018127441, 1.3067631721496582, 1.2973301410675049, 1.2694613933563232, 1.2433192729949951, 1.25478196144104, 1.264758825302124, 1.242185115814209, 1.2742726802825928, 1.3347811698913574, 1.1794686317443848, 1.3030707836151123]","[48, 97, 144, 198, 252, 286, 332, 383, 443, 496, 551, 602, 657, 701, 752]",8,0.1
500,50,15,15,64,759340.3955572678,576464.8606911766,55.58749771118164,35.57727026939392,18,49,"[759340.3955572678, 619590.2141210487, 599742.9877143425, 593035.693264208, 588532.3955433482, 585444.583075158, 583448.2099285432, 582122.5351896605, 581145.8112470416, 580321.2673434112, 579648.1994259635, 579026.7104355372, 578469.572579402, 578059.2905646533, 577686.6000517479, 577368.837646189, 577041.2734435675, 576745.7025826423]","[13.986846446990967, 1.2689564228057861, 1.248682975769043, 1.2485980987548828, 1.2649154663085938, 1.2312722206115723, 1.2124016284942627, 1.2595233917236328, 1.2713606357574463, 1.3178064823150635, 1.2933714389801025, 1.225663185119629, 1.2321443557739258, 1.2169923782348633, 1.2191658020019531, 1.2344577312469482, 1.3119750022888184, 1.325146198272705]","[58, 108, 152, 194, 260, 310, 359, 403, 446, 506, 548, 606, 665, 717, 764]",8,0.1
500,50,15,15,64,784436.4358398453,583846.5561520306,54.81470322608948,33.997478008270264,16,50,"[784436.4358398453, 628669.1738970287, 609333.2825033619, 601773.8438962942, 597391.916027858, 594669.86436518, 592682.4762753604, 591192.2774250689, 589522.0536617272, 588643.6449937259, 587161.6430483755, 586496.356080898, 585612.8444006137, 584860.6506968029, 584411.1604068597, 584072.5755610742]","[13.557952880859375, 1.2248573303222656, 1.2272577285766602, 1.2395238876342773, 1.3359827995300293, 1.3226633071899414, 1.343796730041504, 1.3720033168792725, 1.3474452495574951, 1.3833482265472412, 1.4697847366333008, 1.4164259433746338, 1.3677723407745361, 1.3879671096801758, 1.340864896774292, 1.3573696613311768]","[51, 94, 141, 193, 240, 290, 342, 400, 449, 506, 563, 623, 674, 728, 769]",8,0.1
500,50,15,15,64,793566.0482973376,588743.6175297424,44.3430917263031,24.900065422058105,9,51,"[793566.0482973376, 628115.830472508, 610780.743522584, 602980.0242995451, 597743.688081381, 594526.9707047406, 592173.0574520788, 590546.6488693359, 589483.7830461399]","[14.019428253173828, 1.3269588947296143, 1.5276908874511719, 1.3164050579071045, 1.3306548595428467, 1.355355978012085, 1.3076105117797852, 1.3114538192749023, 1.3076565265655518]","[53, 110, 171, 203, 252, 291, 336, 392, 443, 482, 539, 591, 644, 694, 747]",8,0.1
500,250,5,5,64,703676.9555426794,572624.9008098542,43.5716814994812,26.168710231781006,9,42,"[703676.9555426794, 603102.4531632843, 589189.3006130715, 582192.1997643012, 578791.8587278028, 576748.4726273319, 575238.2803068272, 574023.0302060212, 573202.1262956072]","[14.12360143661499, 1.3770637512207031, 1.3525526523590088, 1.3406779766082764, 2.2472176551818848, 1.3172531127929688, 1.3330800533294678, 1.5915653705596924, 1.3275630474090576]","[225, 446, 680, 943, 1186]",8,0.5
500,250,5,5,64,689208.8697160063,571770.4720958617,42.44163274765015,25.53472924232483,10,43,"[689208.8697160063, 598321.5602346422, 586333.8829155578, 580860.1290230342, 578106.0282255806, 576358.9202511442, 574695.897874817, 573606.8165882711, 572848.4271290438, 572278.2958579424]","[13.617241621017456, 1.2757906913757324, 1.2947170734405518, 1.2692501544952393, 1.2973692417144775, 1.264615535736084, 1.263392448425293, 1.299057960510254, 1.3632557392120361, 1.3808796405792236]","[229, 476, 719, 979, 1217]",8,0.5
500,250,5,5,64,698464.7222470364,579174.2834503244,43.63958692550659,26.305261611938477,10,44,"[698464.7222470364, 604179.2628927812, 593102.8177219055, 587739.8084314333, 584430.0371406795, 582778.2846301803, 581672.4370432863, 580709.5905876494, 580036.4545110478, 579522.7133364753]","[14.206192255020142, 1.2524638175964355, 1.3066470623016357, 1.3108761310577393, 1.2931387424468994, 1.2733969688415527, 1.6719708442687988, 1.2760884761810303, 1.2775437831878662, 1.3043262958526611]","[205, 419, 673, 921, 1145]",8,0.5
500,250,5,5,64,713825.4323329679,571510.2844293823,49.59240460395813,32.75950002670288,16,45,"[713825.4323329679, 609818.7183796576, 594177.9542120103, 587912.7342519129, 583968.5347441396, 581107.3952943364, 578845.8618713596, 576956.0743379614, 575493.5531057679, 574572.3755534432, 573745.7127264615, 573138.0123051333, 572579.7571004019, 572158.0836753538, 571903.4978110482, 571692.3034542756]","[14.404686450958252, 1.2518959045410156, 1.2384860515594482, 1.219177484512329, 1.147704839706421, 1.164827823638916, 1.159257411956787, 1.7192840576171875, 1.246325969696045, 1.1733789443969727, 1.126612663269043, 1.1073060035705566, 1.171003818511963, 1.1686208248138428, 1.1432957649230957, 1.1588282585144043]","[215, 434, 656, 888, 1138]",8,0.5
