artifact,method,k,l,r,l_over_k,partitions,sampling,run,seed,r_effective,cost_seed,cost_final,n_lloyd_iters,time_seed,time_fit,failed,time_total
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,0,42,15.0,78894.57368380926,55544.23928947999,20.0,5.8025665283203125,7.5487589836120605,False,13.351325511932371
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,1,43,15.0,78435.48619692515,56047.392817662985,20.0,4.970137596130371,8.097620248794556,False,13.067757844924929
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,2,44,15.0,78305.11671868085,55263.59401768665,24.0,4.483604431152344,9.072783470153809,False,13.556387901306152
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,3,45,15.0,74840.45678471382,55223.80166947436,20.0,5.119345426559448,7.812613248825073,False,12.93195867538452
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,4,46,15.0,79907.12693072957,56435.11381950694,23.0,4.636913299560547,8.615911483764648,False,13.252824783325195
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,5,47,15.0,74294.75956202054,54826.92088485848,15.0,5.03034257888794,6.13503098487854,False,11.16537356376648
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,6,48,15.0,74758.58995023783,55775.09283459895,17.0,5.332056283950806,7.540383815765381,False,12.872440099716188
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,7,49,15.0,74926.95477869507,55345.913697111246,24.0,4.842777252197266,8.543608665466309,False,13.386385917663574
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,8,50,15.0,74847.58786666402,55278.92040019931,21.0,4.912791967391968,7.927512168884277,False,12.840304136276243
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,9,51,15.0,73605.119351992,55822.31343641085,17.0,4.8554527759552,7.090505838394165,False,11.945958614349363
l_sweep,kmeans||,500,50,5,0.1,64,bernoulli,10,52,15.0,76233.55062816462,55155.41113400162,17.0,5.141565561294556,6.842252731323242,False,11.983818292617798
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,0,42,5.0,66301.46617724477,54323.781631276834,16.0,3.856750011444092,6.749527215957642,False,10.606277227401732
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,1,43,5.0,67534.92331153035,54582.6455242314,19.0,3.747281074523926,8.274630546569824,False,12.02191162109375
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,2,44,5.0,66496.33085055738,54175.73446808128,23.0,3.579339027404785,8.33458662033081,False,11.913925647735596
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,3,45,5.0,67879.08098217745,54774.79343174023,21.0,3.1927170753479004,8.072164297103882,False,11.264881372451782
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,4,46,5.0,67513.87132408013,54326.74191207207,16.0,3.3482139110565186,4.690359115600586,False,8.038573026657104
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,5,47,5.0,66128.74972004861,54534.39688864156,16.0,3.2408576011657715,5.757889032363892,False,8.998746633529663
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,6,48,5.0,67791.15862390946,54937.713512670256,17.0,3.209004163742065,7.500871896743774,False,10.70987606048584
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,7,49,5.0,66180.61580359175,54621.065719569335,15.0,3.8409485816955566,4.347977638244629,False,8.188926219940186
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,8,50,5.0,68424.92979217996,55129.10624088619,14.0,3.4579131603240967,4.759917497634888,False,8.217830657958984
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,9,51,5.0,64920.0621962967,54356.7006689235,15.0,3.5990869998931885,6.254517078399658,False,9.853604078292848
l_sweep,kmeans||,500,250,5,0.5,64,bernoulli,10,52,5.0,66329.45169881689,54381.7346016541,19.0,3.421472549438477,5.884469270706177,False,9.305941820144652
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,0,42,5.0,59067.61040265685,53923.34165702468,15.0,4.067809581756592,6.36916971206665,False,10.436979293823242
l_sweep,kmeans||,500,500,5,1.0,64,bernoulli,1,43,5.0,59665.38148535158,54420.66891743824,18.0,4.223395109176636,7.274499416351318,False,11.497894525527954
