k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,n_centroids_history,workers,l_over_k
500,1,0,0,64,78748194.19046861,31462276.63242558,48.86403965950012,35.87658929824829,20,42,"[78748194.19046861, 66506681.05553815, 53118875.11917269, 43564223.604232736, 42434624.823578514, 37622300.88351529, 33959067.062823616, 32101133.07140873, 31752791.369617704, 31647199.496845737, 31601076.53561914, 31576142.97033136, 31554162.92717825, 31529574.112352658, 31511140.438470513, 31502204.35135755, 31495942.95620577, 31491149.698045697, 31484595.601197407, 31471998.138475552]","[12.827301979064941, 1.0523221492767334, 1.0289733409881592, 1.0631582736968994, 1.224316120147705, 1.198742389678955, 1.2363271713256836, 1.1901235580444336, 1.1898012161254883, 1.1905996799468994, 1.2825934886932373, 1.2158920764923096, 1.2052538394927979, 1.2544519901275635, 1.2502927780151367, 1.2383522987365723, 1.2559843063354492, 1.2492477893829346, 1.2739741802215576, 1.2576799392700195]",[],8,0
500,1,0,0,64,81275245.6581196,30871489.57037721,50.18968415260315,37.414196491241455,20,43,"[81275245.6581196, 72022448.99401529, 52104868.76471725, 40812122.4221758, 37178111.064958066, 34877864.82714368, 32325513.216925565, 31469763.634405635, 31374306.64194476, 31190168.52084498, 31039207.870923836, 30993511.039177477, 30977974.25280819, 30955117.195515208, 30929503.850264642, 30908976.221780565, 30897575.795277473, 30891162.48498185, 30886562.601595603, 30882250.72440043]","[13.379514217376709, 1.2034316062927246, 1.2828774452209473, 1.2585194110870361, 1.2688696384429932, 1.2505075931549072, 1.2259035110473633, 1.5000925064086914, 1.2781004905700684, 1.2418224811553955, 1.2220709323883057, 1.2309954166412354, 1.220714807510376, 1.197333574295044, 1.1825406551361084, 1.2040724754333496, 1.1769697666168213, 1.4822893142700195, 1.1884350776672363, 1.216362476348877]",[],8,0
500,1,0,0,64,83768736.75365935,39133826.12434443,51.14181470870972,38.50311493873596,20,44,"[83768736.75365935, 78462669.60675456, 58169473.27170414, 56545875.678713106, 56001714.234880194, 54296178.489002444, 52583800.81017802, 46741179.86123794, 44780700.46195947, 44501220.84586523, 44435458.79074816, 44321199.498260185, 44155838.74313531, 44108287.709920004, 44085151.83536895, 44072100.48083671, 44049393.400204584, 44010098.41972983, 43939772.3637026, 43495009.474796645]","[13.61208200454712, 1.2672061920166016, 1.2806570529937744, 1.3026657104492188, 1.3034508228302002, 1.3404982089996338, 1.344365119934082, 1.305321216583252, 1.2277288436889648, 1.2291886806488037, 1.3007700443267822, 1.3130638599395752, 1.2834198474884033, 1.4549310207366943, 1.3015413284301758, 1.3012206554412842, 1.2703545093536377, 1.3086490631103516, 1.3127667903900146, 1.3139464855194092]",[],8,0
500,1,0,0,64,82962206.08284853,39988848.756586686,51.550755977630615,38.53378343582153,20,45,"[82962206.08284853, 77395555.71400303, 54908916.048125766, 51871717.988238774, 47551624.72759443, 42993612.130270906, 40547141.125791326, 40318099.05677156, 40150536.40011791, 40090909.491216905, 40071490.36930994, 40047938.3694858, 40030748.4755688, 40020988.19134608, 40010293.00312798, 40004696.91959987, 40001016.91767, 39997737.810006276, 39994739.41441835, 39992032.3078455]","[14.266941547393799, 1.179551601409912, 1.204019546508789, 1.1879737377166748, 1.3622791767120361, 1.2475357055664062, 1.2412967681884766, 1.2482836246490479, 1.2306339740753174, 1.2063727378845215, 1.2651443481445312, 1.248382806777954, 1.2640464305877686, 1.2843413352966309, 1.2893199920654297, 1.3061192035675049, 1.4129705429077148, 1.303722858428955, 1.2894864082336426, 1.2923455238342285]",[],8,0
500,1,0,0,64,77087628.38686092,36876004.55659418,51.53379464149475,37.84493947029114,20,46,"[77087628.38686092, 72364079.02193965, 58770896.54143357, 50678608.13156855, 41737468.293351516, 40829373.51076064, 39314938.65676535, 37720694.12233427, 37443134.596917294, 37312529.732156806, 37205785.86735261, 37114377.62440497, 37095269.848735, 37077055.963967204, 37059089.133703284, 37046499.66175365, 37030254.55424363, 36904219.35002771, 36881967.113609076, 36877486.04952967]","[14.63246202468872, 1.1263916492462158, 1.228339433670044, 1.2250542640686035, 1.2246251106262207, 1.2198920249938965, 1.2176063060760498, 1.2081973552703857, 1.2394073009490967, 1.2121360301971436, 1.2271490097045898, 1.2405073642730713, 1.2286872863769531, 1.1769850254058838, 1.2079014778137207, 1.2727315425872803, 1.186387300491333, 1.3670878410339355, 1.1008124351501465, 1.0599160194396973]",[],8,0
500,1,0,0,64,76799368.78330064,29741065.097959153,50.72832703590393,37.79413342475891,20,47,"[76799368.78330064, 69125535.16395196, 54683590.64113357, 44742787.610227875, 38185160.21601741, 37148830.16044596, 34964929.096173674, 32600808.98696777, 31963603.610580366, 31850548.973953918, 31734419.721046656, 31640304.48046925, 31276364.97741281, 30853484.664972473, 30555523.06589858, 30435784.03755445, 30336435.099037923, 30228041.939681128, 30178835.1965672, 29960164.906455547]","[14.127910375595093, 1.194035291671753, 1.2136080265045166, 1.2468743324279785, 1.1986665725708008, 1.2208056449890137, 1.2311692237854004, 1.223050594329834, 1.2157864570617676, 1.3360648155212402, 1.1985571384429932, 1.2231464385986328, 1.211839199066162, 1.4114022254943848, 1.2098283767700195, 1.2445645332336426, 1.2192966938018799, 1.2005341053009033, 1.240828275680542, 1.239628553390503]",[],8,0
500,1,0,0,64,90525895.84559754,41038616.80118906,49.27878260612488,36.413086891174316,20,48,"[90525895.84559754, 81331384.12529248, 56795988.629903205, 51119583.56263321, 49891785.60864752, 46387327.00942649, 44036900.792184204, 41890898.01947435, 41767250.132236496, 41676224.74757456, 41564937.90811178, 41529889.786691524, 41478859.138852715, 41365135.11489109, 41174286.89396397, 41105997.40506898, 41088135.520895965, 41076573.774761245, 41059155.691695005, 41048896.54912483]","[13.630191087722778, 1.3848800659179688, 1.2744510173797607, 1.1879065036773682, 1.1926252841949463, 1.2168090343475342, 1.2335529327392578, 1.2566816806793213, 1.1964271068572998, 1.1775267124176025, 1.1450676918029785, 1.1785080432891846, 1.1396236419677734, 1.1664409637451172, 1.1893441677093506, 1.18550705909729, 1.1474077701568604, 1.1101810932159424, 1.0432908535003662, 1.1329691410064697]",[],8,0
500,1,0,0,64,84463062.9071261,40022493.47603784,49.53740859031677,36.32482099533081,20,49,"[84463062.9071261, 77248927.19457963, 52753484.92035097, 48866062.377809346, 48329708.464099795, 47809142.482531115, 46348507.947267555, 44694846.04471247, 43542925.040588185, 40765741.74445004, 40333735.51645131, 40222843.36895298, 40099084.068781234, 40091105.53223156, 40084962.2142026, 40077337.433919206, 40065176.50436416, 40046350.85461209, 40034993.78968579, 40027907.770657696]","[13.566966772079468, 1.169316291809082, 1.1367607116699219, 1.1008284091949463, 1.1216752529144287, 1.1377384662628174, 1.1230695247650146, 1.1412405967712402, 1.1344549655914307, 1.1348927021026611, 1.1493849754333496, 1.1365852355957031, 1.443878173828125, 1.4688382148742676, 1.221414566040039, 1.1801667213439941, 1.1411364078521729, 1.1830291748046875, 1.1602427959442139, 1.1938130855560303]",[],8,0
500,1,0,0,64,86178830.40708822,35638199.67438327,47.755746364593506,35.23417139053345,20,50,"[86178830.40708822, 76362811.7890669, 52935527.30987674, 48888950.869663745, 45377182.743330054, 44782776.297055975, 40861245.056871384, 38699431.93517904, 36367846.80491162, 35750735.51900601, 35719464.531357184, 35697669.05422248, 35685673.46066009, 35672992.27029295, 35663294.49739761, 35656413.50229865, 35651035.925366595, 35645441.79765722, 35642818.683600456, 35640194.726842836]","[13.249319076538086, 1.0581202507019043, 1.060692548751831, 1.0420010089874268, 1.3650493621826172, 1.0910754203796387, 1.087052345275879, 1.1084387302398682, 1.1047711372375488, 1.128274917602539, 1.1174051761627197, 1.1651644706726074, 1.203031301498413, 1.15561842918396, 1.165780782699585, 1.200145959854126, 1.1780107021331787, 1.1842105388641357, 1.1921536922454834, 1.1923856735229492]",[],8,0
500,1,0,0,64,69299894.14153679,31540457.216801684,48.07937788963318,35.25420522689819,20,51,"[69299894.14153679, 62351460.27471897, 50714239.97733746, 38600276.27575776, 34710974.29003628, 33913306.276640974, 32030809.312855285, 31992186.447852954, 31951966.196793508, 31907307.497467916, 31858819.91916891, 31829327.39253645, 31786187.450692322, 31725909.057332475, 31623770.075913504, 31600844.024025787, 31579080.855748557, 31568621.361885063, 31563640.111826204, 31559514.612203166]","[13.276763677597046, 1.1050200462341309, 1.148113489151001, 1.1464390754699707, 1.1418006420135498, 1.1088356971740723, 1.2169907093048096, 1.1361041069030762, 1.142270803451538, 1.2929468154907227, 1.1095802783966064, 1.1075656414031982, 1.0961549282073975, 1.0845305919647217, 1.2538046836853027, 1.049274206161499, 1.2528142929077148, 1.1592895984649658, 1.142493724822998, 1.1084389686584473]",[],8,0
