k,l,r,r_effective,partitions,initial_cost,final_cost,time,lloyd_time,num effective lloyd iters,seed,cost_history,iter_times,workers,l_over_k
500,500,5,5,32,621381.944039468,569823.247004098,105.691099882126,58.3831541538239,10,42,"[621381.9440394683, 586492.0907704509, 580486.6693102841, 577228.4286670361, 574977.1011843145, 573311.6286483267, 572268.6661793907, 571551.2051522743, 570896.2712543798, 570291.9517022467]","[35.80288362503052, 2.3831698894500732, 2.7661709785461426, 2.592716932296753, 2.169433355331421, 2.508913040161133, 2.5062415599823, 2.4698922634124756, 2.4958181381225586, 2.593744993209839]",3,1
500,500,5,5,32,620765.519605351,571639.139630584,97.4730477333069,49.0185527801514,8,43,"[620765.5196053506, 585985.2255104413, 579398.127767929, 576369.6738581156, 574606.5111122605, 573552.6750523238, 572732.0717845331, 572146.1615924698]","[33.208327770233154, 2.3368043899536133, 2.2490971088409424, 2.215649366378784, 2.2046754360198975, 2.2830681800842285, 2.2452447414398193, 2.2104694843292236]",3,1
500,500,5,5,32,625631.783100017,570823.985676842,76.9527637958527,45.7026076316834,13,42,"[625631.7831000173, 587273.8032846896, 580979.04691822, 577834.169159129, 575968.7065299718, 574767.1740527523, 573715.0460291558, 572897.7087431166, 572064.6758509187, 571605.1179599217, 571342.1808127137, 571138.5070113093, 570962.8039229391]","[24.697353839874268, 1.7363767623901367, 1.7417974472045898, 1.7578272819519043, 1.7381229400634766, 1.7419755458831787, 1.7127456665039062, 1.7413420677185059, 1.7648568153381348, 1.728783369064331, 1.7563602924346924, 1.7272796630859375, 1.7512383460998535]",4,1
500,500,5,5,32,626545.305025841,573211.689491178,74.2914199829102,40.0795545578003,10,43,"[626545.305025841, 590107.9442061225, 583818.2006179575, 580798.1315280846, 578632.5616310226, 576815.9667247328, 575338.4457063421, 574564.3582248949, 574029.2336150203, 573576.122386805]","[23.91389298439026, 1.7766385078430176, 1.8822946548461914, 1.7658908367156982, 2.031425714492798, 1.7472033500671387, 1.7175042629241943, 1.7043471336364746, 1.6932520866394043, 1.6998744010925293]",4,1
500,500,5,5,32,627397.448919205,572022.955573636,74.2898514270783,38.8233547210693,9,44,"[627397.448919205, 589473.6090105305, 582117.6761706745, 578466.1150117097, 576376.8543312405, 574876.2818179649, 573836.0298962905, 572934.4872968422, 572390.1604122128]","[24.46855115890503, 1.7788689136505127, 1.8303899765014648, 1.7912211418151855, 1.7814559936523438, 1.7879140377044678, 1.7785277366638184, 1.7781119346618652, 1.760563850402832]",4,1
500,500,5,5,32,627799.699566684,569413.834246892,79.4586486816406,45.3231716156006,13,45,"[627799.6995666842, 589835.2127015159, 582080.2403218161, 578123.4795556592, 575707.1586305803, 574136.6818205181, 572851.1735980217, 571902.9164743876, 571225.6537677369, 570656.0315423778, 570211.8738431523, 569856.1641701715, 569594.9705553515]","[23.873313903808594, 1.756089687347412, 1.9281165599822998, 1.7957305908203125, 1.7337768077850342, 1.7787883281707764, 1.818669080734253, 1.8145544528961182, 1.7354404926300049, 1.7449009418487549, 1.7246780395507812, 1.7511651515960693, 1.7540051937103271]",4,1
500,500,5,5,32,625372.524667447,570760.515170427,54.4714341163635,21.4148557186127,12,46,"[625372.5246674469, 588628.6025433183, 581066.2595433943, 577301.016073238, 575306.2681355461, 573745.103494193, 572796.443377609, 572170.886909576, 571747.7867072871, 571443.4415277675, 571190.1868408934, 570970.166555752]","[1.7347359657287598, 1.7397761344909668, 1.7364625930786133, 1.7829487323760986, 1.7740445137023926, 1.7864608764648438, 1.8478190898895264, 1.7866322994232178, 1.7772235870361328, 1.7805943489074707, 1.7863411903381348, 1.7911288738250732]",4,1
500,500,5,5,32,616642.581414457,570385.745132264,69.4222247600555,36.6615025997162,8,47,"[616642.581414457, 584453.2478333269, 579433.933701801, 576918.2057368155, 575089.1361915255, 573595.4819705533, 572195.146873913, 571111.6124925241]","[24.238845825195312, 1.6996567249298096, 1.740426778793335, 1.8082301616668701, 1.7661609649658203, 1.754164695739746, 1.7952628135681152, 1.7483553886413574]",4,1
500,500,5,5,32,629884.456273933,571231.012978482,79.287341594696,44.6327002048492,13,48,"[629884.4562739324, 589311.7780761877, 582343.3124028636, 579588.2428757808, 577937.8759115596, 576876.9224389719, 575828.8306731634, 575108.9189821488, 574458.9991959122, 573694.5706709878, 572903.7933962429, 572283.5762964338, 571724.3037725794]","[23.978455781936646, 1.6456122398376465, 1.6573607921600342, 1.687002420425415, 1.6567764282226562, 1.635946273803711, 1.7531511783599854, 1.7301580905914307, 1.729128360748291, 1.7424333095550537, 1.7551560401916504, 1.764695167541504, 1.7762315273284912]",4,1
500,500,5,5,32,622681.772023052,571151.758381194,72.8284194469452,41.418420791626,11,49,"[622681.7720230516, 587516.4648106848, 581316.4759053703, 578286.4085714276, 576321.0096238443, 575087.6024315036, 574212.1689253517, 573337.8744975141, 572701.5743152328, 572059.4331348086, 571425.8653829313]","[24.149536848068237, 1.6971967220306396, 1.7270267009735107, 1.730877161026001, 1.7157607078552246, 1.749382495880127, 1.7145850658416748, 1.7106235027313232, 1.6886041164398193, 1.719916820526123, 1.7098405361175537]",4,1
